mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lstm_units,param_lr,param_fc_dim,param_epochs,param_dropout,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.601902341842651,2.2278749096964456,0.007130670547485352,0.001513839449710754,32,0.001,64,100,0.3,32,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.322491571162331,-4.619436467411455,-3.061544598071356,-2.614121879168633,-2.3761567339461207,-3.3987502499519793,0.907570349987543,1
12.047125864028931,5.258920978763436,0.007085371017456055,0.0011710283042890646,32,0.0001,16,100,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.991125959719022,-4.862277652965069,-3.376333364732041,-2.638039534950559,-2.3758584660156905,-3.6487269956764763,1.0945886810776533,6
8.303270244598389,2.561100910201576,0.01655411720275879,0.004022677639761031,128,0.0001,16,200,0.3,32,"{'lstm_units': 128, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",-4.153573807690705,-4.606239346573507,-3.8417020109590183,-2.7707321586017764,-2.5018616817699266,-3.5748218011189863,0.8084311542120927,3
8.636060333251953,2.7288917448474064,0.007130670547485352,0.0011749190304706414,32,0.0001,32,100,0.1,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",-4.840291121681336,-4.695285860852276,-3.122898962489847,-3.15173149588836,-2.465473470479339,-3.655136182278232,0.9421776571837513,8
6.8079156398773195,2.424394489226135,0.006964778900146485,0.001417199467358097,32,0.0001,64,100,0.1,64,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",-4.906398193829058,-4.634570863987131,-3.2776472805473804,-2.9732675581131005,-2.4534826135138634,-3.6490733019981065,0.9566795822607413,7
9.600920677185059,3.7025160715458765,0.006939744949340821,0.0014175076206025814,32,0.0001,64,100,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.6951316942124794,-4.743252409873443,-2.9048380791396013,-2.8784580418212293,-2.3987617257498175,-3.5240883901593145,0.9924084766826046,2
6.6473535060882565,4.005257879925354,0.006961441040039063,0.0014383314380182794,32,0.0005,16,100,0.2,64,"{'lstm_units': 32, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.2, 'batch_size': 64}",-5.054430407070806,-4.633484384643114,-3.7213855701114444,-2.8852138433588297,-2.432800727477753,-3.7454629865323894,0.9965609091462795,11
4.243563604354859,1.5774338801673367,0.00842599868774414,0.0018464328507085857,64,0.001,16,200,0.1,64,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.1, 'batch_size': 64}",-5.016659025634963,-5.270553929860584,-3.9920672183484114,-2.7058384684384444,-2.4760290399655074,-3.8922295364495825,1.1478009396098943,16
5.030263233184814,1.8748314707086857,0.01654019355773926,0.004061910930956823,128,0.0005,64,200,0.2,64,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 64, 'epochs': 200, 'dropout': 0.2, 'batch_size': 64}",-5.6168777490476005,-5.455487077566802,-3.3196116454291253,-2.7103739120557586,-2.4265916297043315,-3.905788402760723,1.3630872915933012,17
9.154571676254273,2.646743769110033,0.006942558288574219,0.0014318149937793017,32,0.0001,32,200,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",-4.5652851915041435,-4.68199939461929,-3.1329870140594216,-3.151521641856776,-2.4630254634386683,-3.5989637410956603,0.8734343576113719,5
4.494515037536621,1.52965094956142,0.016863107681274414,0.004431374687203103,128,0.001,32,100,0.1,64,"{'lstm_units': 128, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",-5.469778071126742,-5.267961601750377,-3.244304194737034,-2.864429377500905,-2.4176214146735755,-3.8528189319577266,1.2668213484152206,15
5.226896333694458,1.0520609705082042,0.0164215087890625,0.0038221500978407445,128,0.0001,16,100,0.1,64,"{'lstm_units': 128, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",-5.532630723187975,-5.267338324581567,-3.2104939299335893,-2.9797265960660604,-2.693041271820689,-3.9366461691179766,1.208921303789995,18
5.292294692993164,1.9654158669048478,0.009694862365722656,0.003116038777860455,64,0.0001,32,100,0.2,64,"{'lstm_units': 64, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.2, 'batch_size': 64}",-4.774450301039065,-4.610856588107239,-3.430217167215039,-2.7014560820243605,-2.392097017689266,-3.5818154312149937,0.9689941337423813,4
6.1334703922271725,2.5531429074693857,0.00951523780822754,0.0028349262678051892,64,0.001,32,100,0.3,32,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.362171780362151,-5.693801006419909,-3.7016888047666936,-2.5970303175049767,-2.3499500359806684,-3.74092838900688,1.2202063868615702,10
3.751811456680298,1.3076326165724017,0.00775909423828125,0.0007995751151867065,32,0.001,64,100,0.1,64,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",-4.500495110906904,-5.8100847797687685,-3.4133985767240147,-2.770302717956216,-2.5399303492686545,-3.8068423069249113,1.210653774971511,14
5.432016515731812,1.0478436602895171,0.016345691680908204,0.003939665224791119,128,0.0005,16,200,0.3,64,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.3, 'batch_size': 64}",-5.373910174125432,-5.955375980174258,-3.8174329336188477,-2.5764880956228073,-2.4037481133305105,-4.025391059374372,1.4363591349139364,19
4.105101108551025,1.18046666325262,0.01683945655822754,0.004437916267305622,128,0.001,64,100,0.3,64,"{'lstm_units': 128, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 64}",-5.398678188943071,-5.050306706238489,-3.366299284684518,-2.55628654193446,-2.4097247191032283,-3.756259088180753,1.2471773977702165,12
7.078645706176758,2.7678276997065923,0.016408872604370118,0.003873583285074981,128,0.001,16,100,0.3,32,"{'lstm_units': 128, 'lr': 0.001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.68878561886947,-5.273618059706634,-3.2098723437443537,-2.5906534359955673,-2.590635787205631,-3.670713049104331,1.1091659970967456,9
8.264564752578735,1.8350890717481037,0.008567619323730468,0.0015045253442569264,64,0.001,64,100,0.1,32,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",-5.959528358677483,-5.361986050927162,-3.4945440296870234,-2.7750805358210484,-2.5414786195988044,-4.026523518942304,1.3837946346790706,20
7.815322399139404,2.5620738418726576,0.016467952728271486,0.003947433843679525,128,0.0005,16,100,0.1,32,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",-5.37689271210874,-5.162784823347289,-3.493221092548903,-2.4985452130449057,-2.3722588312699227,-3.780740534463952,1.2781440584390817,13
