gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path
NO2_alpha,A,RF,16813,5185,8,0.7584615858612536,0.24066223845663726,9.209872010396996,6.806880114072313,-5.042508127094278,48.07858221836231,0.7161423833985139,Inaceptable,3.1515604222966367,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",no2_alpha_a_rf.joblib
NO2_alpha,A,LightGBM,16813,5185,8,0.6302122953831288,-0.02349510384489606,10.692493150440697,8.302677186635881,-7.501899044271858,55.81835561584304,0.7010053518170595,Inaceptable,,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",no2_alpha_a_lightgbm.joblib
NO2_alpha,A,DNN,16813,5185,8,0.5829580186554665,0.2365243694014707,9.234931654470376,7.00580352045646,-4.769626940908404,48.20940186021886,0.6816078340088095,Inaceptable,2.4646848023764,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 64, 'epochs': 300, 'dropout': 0.3, 'batch_size': 32}",no2_alpha_a_dnn.pt
NO2_alpha,B,RF,16813,5185,9,0.7622768517609487,0.134797208330249,9.830940147172981,7.193796980184766,-5.812991311842504,51.320763591076314,0.7149431931087676,Inaceptable,5.654989900780393,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",no2_alpha_b_rf.joblib
NO2_alpha,B,LightGBM,16813,5185,9,0.565532097090744,-0.40381560032245,12.52250253176454,9.753454918435049,-9.273781688700126,65.37161068833781,0.6646105534330886,Inaceptable,,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 127, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",no2_alpha_b_lightgbm.joblib
NO2_alpha,B,DNN,16813,5185,9,0.6017993633134804,0.2416214255958018,9.204053267574807,7.001806472770963,-4.598618067646671,48.048206453653705,0.6654697327288995,Inaceptable,2.4906705265459568,"{'lr': 0.005, 'hidden_dim_2': 64, 'hidden_dim_1': 64, 'epochs': 200, 'dropout': 0.1, 'batch_size': 32}",no2_alpha_b_dnn.pt
NO2_alpha,C,RF,16813,5185,8,0.7614681168462948,-0.035377822027044425,10.754383642047756,7.825029904231316,-6.606440377430766,56.14144448026002,0.6696836111679961,Inaceptable,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 10}",no2_alpha_c_rf.joblib
NO2_alpha,C,LightGBM,16813,5185,8,0.601832092637707,-0.46684249216987017,12.800526621534903,9.57935067234154,-8.900130181833864,66.82298851895476,0.5660973206633191,Inaceptable,,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 127, 'n_estimators': 200, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_alpha_c_lightgbm.joblib
NO2_alpha,C,DNN,16813,5185,8,0.6013830228164565,0.08200903574722518,10.12640515093477,7.676856397924912,-6.276499595421375,52.86318876918664,0.6724062247498599,Inaceptable,7.333131249952596,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 64, 'epochs': 300, 'dropout': 0.3, 'batch_size': 32}",no2_alpha_c_dnn.pt
NO2_alpha,A,XGBoost,16813,5185,8,0.6203747418479904,0.23478099377882244,9.245469498512794,6.871654731829576,-5.281660154070436,48.2644128962708,0.7078826464424809,Inaceptable,2.6423550384679775,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",no2_alpha_a_xgboost.joblib
NO2_alpha,B,XGBoost,16813,5185,9,0.627555965542482,0.10119565643326567,10.020022050588139,7.362839084301528,-6.153750733345202,52.307833751127134,0.7062784280794434,Inaceptable,6.201412073020438,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",no2_alpha_b_xgboost.joblib
NO2_alpha,C,XGBoost,16813,5185,8,0.6149544314026947,-0.2353162116215033,11.7469512506361,8.533044252855452,-7.599922587018578,61.322976137043696,0.5741603863085439,Inaceptable,,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",no2_alpha_c_xgboost.joblib
