gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,source_table,selection,val_RMSE,R2_test_max_over_15,delta_vs_max,rank_of_locked_by_test,R2_test_own
PM2.5,B,XGBoost,16848,6144,11,0.7340505401330797,0.7399287183288143,3.933459495369685,2.7048796555221393,-0.5010665279308645,39.83381430616671,0.864620774454481,Marginal,0.9920557507093236,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",pm2.5_b_xgboost.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,2.8219522012728904,0.7687409381893722,-0.0288122198605578,9,0.7399287183288143
CO,B,XGBoost,17409,6271,13,0.8257223399036898,0.7918024765236453,42.111215431422785,27.922383317582263,-2.955576157011679,30.623469977524,0.8951984095096798,Marginal,1.0428387942520303,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",co_b_xgboost.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,48.98998130105405,0.8344571331831266,-0.0426546566594813,3,0.7918024765236453
NO2,C,LightGBM,18100,5174,8,0.5235155197050125,0.2271378666580848,9.285802832734651,7.090268112332241,-5.567273293796193,48.14250957735246,0.7140600015930427,Inaceptable,2.300959369406669,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_c_lightgbm.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,8.664775997006366,0.5790589144631342,-0.3515383738288128,11,0.2275205406343213
O3,B,RF,17410,6271,13,0.9871592872370664,-0.0028917042280973,20.088984013990732,15.205560538781745,13.571986407225692,143.69326678313476,0.6764222041183968,Inaceptable,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 20}",o3_b_rf.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,17.352049760817568,0.138652277780251,-0.1415439820083482,2,-0.0028917042280973
NO2_alpha,B,LightGBM,16813,5185,9,0.565532097090744,-0.40381560032245,12.52250253176454,9.753454918435049,-9.273781688700126,65.37161068833781,0.6646105534330886,Inaceptable,,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 127, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",no2_alpha_b_lightgbm.joblib,tabla_maestra_no2alpha.csv,locked_min_val_RMSE,9.882193082794188,0.2416214255958018,-0.6454370259182518,11,-0.40381560032245
