gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path
NO2,A,RF,18181,5174,12,0.9873240808617676,0.5451589244595302,7.123579610409414,5.349992500966371,-4.018542829532275,36.93048633671867,0.8400313834686027,Marginal,1.8110757002475917,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",no2_a_rf.joblib
NO2,A,LightGBM,18181,5174,12,0.7515309710314989,0.1031312873061706,10.003060148132745,8.239694404200744,-7.544968387265477,51.85846110095761,0.7876230223020959,Inaceptable,7.287128772090222,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",no2_a_lightgbm.joblib
NO2,A,DNN,18181,5174,12,0.6976565257781577,0.5790589144631342,6.85297427608722,5.282255175457436,-0.2422505089708586,35.52759802095875,0.785365532882658,Marginal,1.2048109585273885,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",no2_a_dnn.pt
NO2,B,RF,18100,5174,13,0.9844140342931704,0.5772140857557773,6.867974881234764,5.214895448119725,-3.677536662981275,35.60536505294844,0.8425599527894989,Marginal,1.7054574006180472,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",no2_b_rf.joblib
NO2,B,LightGBM,18100,5174,13,0.5796756549358171,0.2464768528688543,9.168889570353262,6.979846829877495,-5.75135145361373,47.53390423348584,0.7405328304175703,Inaceptable,2.351846220806185,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_b_lightgbm.joblib
NO2,B,DNN,18100,5174,13,0.6879779914163422,0.498782322864141,7.477934090009209,5.759499311447144,-2.8274909623488527,38.76755196705044,0.7576845901061678,Marginal,1.379315103762678,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",no2_b_dnn.pt
NO2,C,RF,18100,5177,8,0.9366176497867216,0.5403884627633071,7.16084144179042,5.449381195369609,-3.1402193763243713,37.13476811517668,0.7929553109793764,Marginal,1.7332302858526516,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 30}",no2_c_rf.joblib
NO2,C,LightGBM,18100,5177,8,0.5235155197050125,0.2275205406343213,9.28350694486779,7.090268112332241,-5.567273293796193,48.14250957735246,0.7140600015930427,Inaceptable,2.300959369406669,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_c_lightgbm.joblib
NO2,C,DNN,18100,5177,8,0.5943598785377512,0.347327161858079,8.533287269804804,6.825515507541845,-5.960601175197515,44.25201236478724,0.8159577540417552,Inaceptable,1.7112392689305769,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 128, 'epochs': 300, 'dropout': 0.2, 'batch_size': 64}",no2_c_dnn.pt
CO,A,RF,17409,6271,12,0.9755766827093236,0.7524468357593538,45.919192016252374,31.279141565490953,-17.779009157484513,33.392648103255034,0.907123501028804,Marginal,1.29653901956381,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30}",co_a_rf.joblib
CO,A,LightGBM,17409,6271,12,0.7907148475124346,0.6742869994303275,52.67172521051968,39.67823742821701,-29.07358093477607,38.30312136859276,0.8859724018522604,Marginal,1.1726680896717143,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 127, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",co_a_lightgbm.joblib
CO,A,DNN,17409,6271,12,0.6590631279974577,0.6823522315153052,52.01551480528853,36.5573415322781,-25.156316839217904,37.825922137042205,0.889240328677489,Marginal,0.9658693817617784,"{'lr': 0.0001, 'hidden_dim_2': 32, 'hidden_dim_1': 32, 'epochs': 200, 'dropout': 0.2, 'batch_size': 128}",co_a_dnn.pt
CO,B,RF,17409,6271,13,0.9783932175509964,0.776520597276416,43.62935049655503,29.42481337109581,-10.943889402929123,31.727464794881204,0.8953461024103252,Marginal,1.2599707219391636,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20}",co_b_rf.joblib
CO,B,LightGBM,17409,6271,13,0.8127267357582242,0.7474666796352512,46.37878224007634,32.31734219485036,-8.807034354791215,33.726864232546205,0.8702234534347922,Marginal,1.0873083147396196,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",co_b_lightgbm.joblib
CO,B,DNN,17409,6271,13,0.7420462523855993,0.8154375065991974,39.64895278626895,27.420110641474967,2.169484457195679,28.832901231926055,0.9059307336460608,Aceptable,0.9099976961819204,"{'lr': 0.0001, 'hidden_dim_2': 32, 'hidden_dim_1': 32, 'epochs': 200, 'dropout': 0.2, 'batch_size': 128}",co_b_dnn.pt
CO,C,RF,17484,6328,8,0.6954711647771492,0.7218378028074851,48.65738368996568,33.86876397099384,4.8605171182671,35.57535691464709,0.85195628060146,Marginal,0.9634729049548436,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 5}",co_c_rf.joblib
CO,C,LightGBM,17484,6328,8,0.7373640541980072,0.6957888483737076,50.88470536487709,36.33680521924816,6.927055491249223,37.20384076518844,0.8426029455459019,Marginal,1.0597526188030677,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 127, 'n_estimators': 200, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",co_c_lightgbm.joblib
CO,C,DNN,17484,6328,8,0.669780020812814,0.7630453863021901,44.908886156399504,30.757544741257615,8.155185110040046,32.834680627981236,0.8952438296658253,Marginal,0.8777721913222603,"{'lr': 0.0005, 'hidden_dim_2': 16, 'hidden_dim_1': 128, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",co_c_dnn.pt
O3,A,RF,17410,6271,12,0.9871105281379272,-0.0314331519947628,20.37283636043087,15.676618822618035,14.11037352342333,145.72361689519798,0.6825656486483694,Inaceptable,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 30}",o3_a_rf.joblib
O3,A,LightGBM,17410,6271,12,0.9436103589636604,-1.4666811623083025,31.505578778863992,28.49651531888313,28.15329702229756,225.35433018790303,0.7336537572246775,Inaceptable,,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1.0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",o3_a_lightgbm.joblib
O3,A,DNN,17410,6271,12,0.6704258061235211,-1.2897858638577704,30.35487079639266,25.975302817666712,24.696288879054023,217.1235013416268,0.5966644692573561,Inaceptable,,"{'lr': 0.0001, 'hidden_dim_2': 32, 'hidden_dim_1': 32, 'epochs': 200, 'dropout': 0.2, 'batch_size': 128}",o3_a_dnn.pt
O3,B,RF,17410,6271,13,0.9871592872370664,-0.0028917042280973,20.088984013990732,15.205560538781745,13.571986407225692,143.69326678313476,0.6764222041183968,Inaceptable,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 20}",o3_b_rf.joblib
