gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,source_table
NO2,A,RF,18181,5174,12,0.9873240808617676,0.5451589244595302,7.123579610409414,5.349992500966371,-4.018542829532275,36.93048633671867,0.8400313834686027,Marginal,1.8110757002475917,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",no2_a_rf.joblib,tabla_maestra_resultados.csv
NO2,A,LightGBM,18181,5174,12,0.7515309710314989,0.1031312873061706,10.003060148132745,8.239694404200744,-7.544968387265477,51.85846110095761,0.7876230223020959,Inaceptable,7.287128772090222,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",no2_a_lightgbm.joblib,tabla_maestra_resultados.csv
NO2,A,DNN,18181,5174,12,0.6976565257781577,0.5790589144631342,6.85297427608722,5.282255175457436,-0.2422505089708586,35.52759802095875,0.785365532882658,Marginal,1.2048109585273885,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",no2_a_dnn.pt,tabla_maestra_resultados.csv
NO2,B,RF,18100,5174,13,0.9844140342931704,0.5772140857557773,6.867974881234764,5.214895448119725,-3.677536662981275,35.60536505294844,0.8425599527894989,Marginal,1.7054574006180472,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",no2_b_rf.joblib,tabla_maestra_resultados.csv
NO2,B,LightGBM,18100,5174,13,0.5796756549358171,0.2464768528688543,9.168889570353262,6.979846829877495,-5.75135145361373,47.53390423348584,0.7405328304175703,Inaceptable,2.351846220806185,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_b_lightgbm.joblib,tabla_maestra_resultados.csv
NO2,B,DNN,18100,5174,13,0.6879779914163422,0.498782322864141,7.477934090009209,5.759499311447144,-2.8274909623488527,38.76755196705044,0.7576845901061678,Marginal,1.379315103762678,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",no2_b_dnn.pt,tabla_maestra_resultados.csv
NO2,C,RF,18100,5177,8,0.9366176497867216,0.5403884627633071,7.16084144179042,5.449381195369609,-3.1402193763243713,37.13476811517668,0.7929553109793764,Marginal,1.7332302858526516,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 30}",no2_c_rf.joblib,tabla_maestra_resultados.csv
NO2,C,LightGBM,18100,5177,8,0.5235155197050125,0.2275205406343213,9.28350694486779,7.090268112332241,-5.567273293796193,48.14250957735246,0.7140600015930427,Inaceptable,2.300959369406669,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",no2_c_lightgbm.joblib,tabla_maestra_resultados.csv
NO2,C,DNN,18100,5177,8,0.5943598785377512,0.347327161858079,8.533287269804804,6.825515507541845,-5.960601175197515,44.25201236478724,0.8159577540417552,Inaceptable,1.7112392689305769,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 128, 'epochs': 300, 'dropout': 0.2, 'batch_size': 64}",no2_c_dnn.pt,tabla_maestra_resultados.csv
CO,A,RF,17409,6271,12,0.9755766827093236,0.7524468357593538,45.919192016252374,31.279141565490953,-17.779009157484513,33.392648103255034,0.907123501028804,Marginal,1.29653901956381,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30}",co_a_rf.joblib,tabla_maestra_resultados.csv
