gas,month,source,model,config,R2,n_obs
NO2,2025-04,OLS_alphasense,OLS_Alphasense,-,0.2928935308708392,1298
NO2,2025-05,OLS_alphasense,OLS_Alphasense,-,0.2112281693268108,2548
NO2,2025-06,OLS_alphasense,OLS_Alphasense,-,-0.5764121848106138,2373
NO2,2025-07,OLS_alphasense,OLS_Alphasense,-,0.1755230949250287,2653
NO2,2025-08,OLS_alphasense,OLS_Alphasense,-,0.2090539096215343,2595
NO2,2025-09,OLS_alphasense,OLS_Alphasense,-,0.4381387691353959,2568
NO2,2025-10,OLS_alphasense,OLS_Alphasense,-,0.4462459812905152,2871
NO2,2025-11,OLS_alphasense,OLS_Alphasense,-,0.5141986535390775,1386
NO2,2025-12,OLS_alphasense,OLS_Alphasense,-,0.2263547333770418,908
NO2,2026-01,OLS_alphasense,OLS_Alphasense,-,0.3214310686533506,2049
NO2,2026-02,OLS_alphasense,OLS_Alphasense,-,-0.2051597787400625,842
