node,gas,rule,locked_model,locked_config,val_RMSE,val_R2,n_val,n_val_scored,val_start,val_end,R2_test_locked,RMSE_test_locked,R2_test_max_over_15,delta_vs_max,rank_of_locked_by_test,n_combinations
5,PM2.5,min_val_RMSE,RF,C,2.4354449101794757,0.4170367360921715,3778,3778,2025-08-19 20:30:00+00:00,2025-10-11 05:45:00+00:00,0.5797840303689652,3.859355846563982,0.6186022494950483,-0.038818219126083,5,15
5,PM2.5,parsimony_within_0.02,RF,C,2.4354449101794757,0.4170367360921715,3778,3778,2025-08-19 20:30:00+00:00,2025-10-11 05:45:00+00:00,0.5797840303689652,3.859355846563982,0.6186022494950483,-0.038818219126083,5,15
5,CO,min_val_RMSE,RF,A,57.18158829580109,0.480173089116657,3348,3348,2025-08-06 22:30:00+00:00,2025-10-11 05:45:00+00:00,0.576615607843973,48.20561464895697,0.576615607843973,0.0,1,15
5,CO,parsimony_within_0.02,RF,A,57.18158829580109,0.480173089116657,3348,3348,2025-08-06 22:30:00+00:00,2025-10-11 05:45:00+00:00,0.576615607843973,48.20561464895697,0.576615607843973,0.0,1,15
5,NO2,min_val_RMSE,XGBoost,B,7.335333387544422,0.6270673863259764,3394,3394,2025-08-07 22:00:00+00:00,2025-10-11 05:45:00+00:00,0.3728387707331809,11.48337263421879,0.5484896739794103,-0.1756509032462294,5,15
5,NO2,parsimony_within_0.02,XGBoost,B,7.335333387544422,0.6270673863259764,3394,3394,2025-08-07 22:00:00+00:00,2025-10-11 05:45:00+00:00,0.3728387707331809,11.48337263421879,0.5484896739794103,-0.1756509032462294,5,15
5,NO2_alpha,min_val_RMSE,LSTM,C,6.377352623120884,0.5612799009121937,3882,2710,2025-08-19 10:45:00+00:00,2025-10-11 05:45:00+00:00,-0.3923815537094652,15.477629144633678,-0.0618732703853708,-0.3305082833240944,12,15
5,NO2_alpha,parsimony_within_0.02,LSTM,C,6.377352623120884,0.5612799009121937,3882,2710,2025-08-19 10:45:00+00:00,2025-10-11 05:45:00+00:00,-0.3923815537094652,15.477629144633678,-0.0618732703853708,-0.3305082833240944,12,15
5,O3,min_val_RMSE,LSTM,A,17.295692294396463,0.6831302271099059,3348,1417,2025-08-06 22:30:00+00:00,2025-10-11 05:45:00+00:00,-2.103124754057324,31.336077914769863,-0.5085148781320417,-1.5946098759252822,11,15
5,O3,parsimony_within_0.02,LSTM,A,17.295692294396463,0.6831302271099059,3348,1417,2025-08-06 22:30:00+00:00,2025-10-11 05:45:00+00:00,-2.103124754057324,31.336077914769863,-0.5085148781320417,-1.5946098759252822,11,15
