node,gas,method,model,config,basis,period,ref_col,pred_col,clip_zero,source_table,orig_R2_test,repro_diff,n,n_scored,R2,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level
3,PM2.5,ols_train_only,-,-,own,test,pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,False,-,,,6144,6144,0.7796317444868134,3.6207871912906775,2.6491644519641007,-0.06225144235520991,36.667408114867186,0.8833563274240757,Marginal
3,PM2.5,ols_train_only,-,-,configA,test,pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,False,-,,,6144,6144,0.7796317444868134,3.6207871912906775,2.6491644519641007,-0.06225144235520991,36.667408114867186,0.8833563274240757,Marginal
3,PM2.5,ols_train_only,-,-,intersection,test,pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,False,-,,,6144,6144,0.7796317444868134,3.6207871912906775,2.6491644519641007,-0.06225144235520991,36.667408114867186,0.8833563274240757,Marginal
3,PM2.5,ols_s6_full_period,-,-,own,test,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3_ols,False,-,,,6144,6144,0.7776025714912588,3.637419277324031,2.6652452588893247,0.0723517939670811,36.83583985475333,0.8839184691281037,Marginal
3,PM2.5,ols_s6_full_period,-,-,configA,test,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3_ols,False,-,,,6144,6144,0.7776025714912588,3.637419277324031,2.6652452588893247,0.0723517939670811,36.83583985475333,0.8839184691281037,Marginal
3,PM2.5,ols_s6_full_period,-,-,intersection,test,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3_ols,False,-,,,6144,6144,0.7776025714912588,3.637419277324031,2.6652452588893247,0.0723517939670811,36.83583985475333,0.8839184691281037,Marginal
3,PM2.5,sps30_raw,-,-,own,test,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,False,-,,,6144,6144,0.6143448794825015,4.789917512424027,3.456032687356252,0.10130277747588372,48.50709279105525,0.8842832812116121,Marginal
3,PM2.5,sps30_raw,-,-,configA,test,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,False,-,,,6144,6144,0.6143448794825015,4.789917512424027,3.456032687356252,0.10130277747588372,48.50709279105525,0.8842832812116121,Marginal
3,PM2.5,sps30_raw,-,-,intersection,test,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,False,-,,,6144,6144,0.6143448794825015,4.789917512424027,3.456032687356252,0.10130277747588372,48.50709279105525,0.8842832812116121,Marginal
3,PM2.5,ols_train_only,-,-,own,full,pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,False,-,,,23087,23087,0.6979506723821645,3.459720879744713,2.419055369121843,-0.020318919626038528,44.5579470884002,0.8355006478690672,Marginal
3,PM2.5,ols_train_only,-,-,configA,full,pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,False,-,,,23087,23087,0.6979506723821645,3.459720879744713,2.419055369121843,-0.020318919626038528,44.5579470884002,0.8355006478690672,Marginal
3,PM2.5,ols_train_only,-,-,intersection,full,pm2_5_high_met_one_ug_m3,c_hat_ols_PM2.5,False,-,,,23087,23087,0.6979506723821645,3.459720879744713,2.419055369121843,-0.020318919626038528,44.5579470884002,0.8355006478690672,Marginal
3,PM2.5,ols_s6_full_period,-,-,own,full,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3_ols,False,-,,,23087,23087,0.696367946582166,3.468773432594087,2.4253312245416625,0.0685416511699435,44.674535444772786,0.8356362923330156,Marginal
3,PM2.5,ols_s6_full_period,-,-,configA,full,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3_ols,False,-,,,23087,23087,0.696367946582166,3.468773432594087,2.4253312245416625,0.0685416511699435,44.674535444772786,0.8356362923330156,Marginal
3,PM2.5,ols_s6_full_period,-,-,intersection,full,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3_ols,False,-,,,23087,23087,0.696367946582166,3.468773432594087,2.4253312245416625,0.0685416511699435,44.674535444772786,0.8356362923330156,Marginal
3,PM2.5,sps30_raw,-,-,own,full,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,False,-,,,23087,23087,0.547586586344999,4.234185322614214,2.9603829924927143,-0.7548329064709803,54.532319838890075,0.8353791219167078,Inaceptable
3,PM2.5,sps30_raw,-,-,configA,full,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,False,-,,,23087,23087,0.547586586344999,4.234185322614214,2.9603829924927143,-0.7548329064709803,54.532319838890075,0.8353791219167078,Inaceptable
3,PM2.5,sps30_raw,-,-,intersection,full,pm2_5_high_met_one_ug_m3,pm2_5_low_sps30_ug_m3,False,-,,,23087,23087,0.547586586344999,4.234185322614214,2.9603829924927143,-0.7548329064709803,54.532319838890075,0.8353791219167078,Inaceptable
3,PM2.5,ml,RF,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7623878678485154,0.0,6144,6144,0.7623878678485154,3.7597830799699765,2.6640790484994894,-0.24157270820439078,38.07500781825537,0.8737172398431142,Marginal
3,PM2.5,ml,RF,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7623878678485154,,6144,6144,0.7623878678485154,3.7597830799699765,2.6640790484994894,-0.2415727082043909,38.07500781825537,0.8737172398431142,Marginal
3,PM2.5,ml,RF,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7623878678485154,,23087,23087,0.8318182182409573,2.581615741506589,1.7758156371521503,-0.06977993915281519,33.24877977471974,0.9128508838362982,Marginal
3,PM2.5,ml,RF,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7623878678485154,,23087,23087,0.8318182182409573,2.581615741506589,1.7758156371521503,-0.06977993915281519,33.24877977471974,0.9128508838362982,Marginal
3,PM2.5,ml,LightGBM,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7350244423882155,0.0,6144,6144,0.7350244423882155,3.9703737493401183,2.753061202384219,-0.4813512829521755,40.207641859148985,0.8643774123586773,Marginal
3,PM2.5,ml,LightGBM,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7350244423882155,,6144,6144,0.7350244423882155,3.9703737493401183,2.753061202384219,-0.4813512829521755,40.207641859148985,0.8643774123586773,Marginal
3,PM2.5,ml,LightGBM,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7350244423882155,,23087,23087,0.7591537177716694,3.089385467864884,2.1116846254816948,-0.0857707878389243,39.7883757093588,0.8752971913683193,Marginal
3,PM2.5,ml,LightGBM,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7350244423882155,,23087,23087,0.7591537177716694,3.089385467864884,2.1116846254816948,-0.0857707878389243,39.7883757093588,0.8752971913683193,Marginal
3,PM2.5,ml,DNN,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.754566327711729,2.5859081542733975e-10,6144,6144,0.7545663279703199,3.8211629305722288,2.758102403196972,-0.5399421458326591,38.69659641575041,0.873447458473349,Marginal
3,PM2.5,ml,DNN,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.754566327711729,,6144,6144,0.7545663279703199,3.8211629305722288,2.758102403196972,-0.5399421458326591,38.69659641575041,0.873447458473349,Marginal
3,PM2.5,ml,DNN,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.754566327711729,,23087,23087,0.7410292322109404,3.203520430994855,2.222066509851201,-0.1457513187190507,41.25832655939876,0.8619600064442933,Marginal
3,PM2.5,ml,DNN,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.754566327711729,,23087,23087,0.7410292322109404,3.203520430994855,2.222066509851201,-0.1457513187190507,41.25832655939876,0.8619600064442933,Marginal
3,PM2.5,ml,RF,B,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7610937948552063,0.0,6144,6144,0.7610937948552063,3.770007362710103,2.686558537560613,-0.1586991975016343,38.17854827178321,0.8730002467109016,Marginal
3,PM2.5,ml,RF,B,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7610937948552063,,6144,6144,0.7610937948552063,3.770007362710103,2.686558537560613,-0.1586991975016342,38.17854827178321,0.8730002467109016,Marginal
3,PM2.5,ml,RF,B,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.7610937948552063,,23087,23087,0.7597621220686188,3.085480936115038,2.206124412399741,-0.0455026624760474,39.73808901711921,0.8724042506054461,Marginal
