node,gas,method,model,config,basis,period,ref_col,pred_col,clip_zero,source_table,orig_R2_test,repro_diff,n,n_scored,R2,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level
5,PM2.5,ml,RF,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5653298266281879,,18815,18815,0.6693759462264184,3.146686973224349,2.2130109855576183,0.181953491878761,33.96763898680199,0.8232401724914273,Marginal
5,PM2.5,ml,RF,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5653298266281879,,18815,18815,0.6693759462264184,3.146686973224349,2.2130109855576183,0.18195349187876098,33.96763898680199,0.8232401724914273,Marginal
5,PM2.5,ml,LightGBM,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5355917314766417,0.0,3701,3701,0.5355917314766417,4.058306522510004,2.9435247849473734,1.279147255632658,43.7295613585161,0.766842154806673,Marginal
5,PM2.5,ml,LightGBM,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5355917314766417,,3701,3701,0.5355917314766417,4.058306522510004,2.9435247849473734,1.279147255632658,43.7295613585161,0.766842154806673,Marginal
5,PM2.5,ml,LightGBM,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5355917314766417,,18815,18815,0.6725145627703716,3.1317155965047276,2.210870637283788,0.34349535670294984,33.80602700446158,0.8225156861929848,Marginal
5,PM2.5,ml,LightGBM,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5355917314766417,,18815,18815,0.6725145627703716,3.1317155965047276,2.210870637283788,0.34349535670294984,33.80602700446158,0.8225156861929848,Marginal
5,PM2.5,ml,DNN,A,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4374646002442349,2.6850296985792e-09,3701,3701,0.4374646029292646,4.466525337022334,3.3198714327148666,1.8719575233119334,48.12825071278324,0.7647896257390407,Marginal
5,PM2.5,ml,DNN,A,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4374646002442349,,3701,3701,0.4374646029292646,4.466525337022334,3.3198714327148666,1.8719575233119334,48.12825071278324,0.7647896257390407,Marginal
5,PM2.5,ml,DNN,A,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4374646002442349,,18815,18815,0.6431653852405484,3.269036782909599,2.3178172640049044,0.3067725517000254,35.28837225352219,0.8052692835398992,Marginal
5,PM2.5,ml,DNN,A,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.4374646002442349,,18815,18815,0.6431653852405484,3.269036782909599,2.3178172640049044,0.3067725517000254,35.28837225352219,0.8052692835398992,Marginal
5,PM2.5,ml,RF,B,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5850616521779539,0.0,3701,3701,0.5850616521779539,3.8360712142919406,2.711924641665106,0.929796565188042,41.33490425392166,0.7806715444700695,Marginal
5,PM2.5,ml,RF,B,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5850616521779539,,3701,3701,0.5850616521779539,3.8360712142919406,2.711924641665106,0.929796565188042,41.33490425392166,0.7806715444700696,Marginal
5,PM2.5,ml,RF,B,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5850616521779539,,18815,18815,0.679346138725299,3.098878550874008,2.182105995677044,0.1805706689893823,33.451559934534224,0.8258981222087441,Marginal
5,PM2.5,ml,RF,B,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5850616521779539,,18815,18815,0.679346138725299,3.098878550874008,2.182105995677044,0.18057066898938232,33.451559934534224,0.8258981222087441,Marginal
5,PM2.5,ml,LightGBM,B,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5627652978486392,0.0,3701,3701,0.5627652978486392,3.9377866838667237,2.8593141966575697,1.2633380454299425,42.43092123618,0.7799628563969303,Marginal
5,PM2.5,ml,LightGBM,B,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5627652978486392,,3701,3701,0.5627652978486392,3.9377866838667237,2.8593141966575697,1.2633380454299425,42.43092123618,0.7799628563969303,Marginal
5,PM2.5,ml,LightGBM,B,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5627652978486392,,18815,18815,0.6453040608658946,3.259225632031474,2.324071713152799,0.33539492060626536,35.182463520334245,0.8118934569297026,Marginal
