direction,gas,model,config,R2_local,R2_transferred,delta_R2,source
N3_to_N5,PM2.5,XGBoost,B,0.7399287183288143,0.5593179358646662,-0.1806107824641482,locked_min_val_RMSE/source-selected/test
N3_to_N5,CO,XGBoost,B,0.7918024765236453,0.019784957603099,-0.7720175189205463,locked_min_val_RMSE/source-selected/test
N3_to_N5,NO2,LightGBM,C,0.2275205406343213,0.0398706897270335,-0.1876498509072877,locked_min_val_RMSE/source-selected/test
N5_to_N3,PM2.5,RF,C,0.5797840303689652,0.65980827186618,0.0800242414972147,locked_min_val_RMSE/source-selected/test
N5_to_N3,CO,RF,A,0.576615607843973,0.2778036733955621,-0.2988119344484109,locked_min_val_RMSE/source-selected/test
N5_to_N3,NO2,XGBoost,B,0.3728387707331809,0.1841773694656483,-0.1886614012675325,locked_min_val_RMSE/source-selected/test
N3_to_N5,O3,RF,B,-0.0028917042280973,-0.5582384240908635,-0.5553467198627663,locked_min_val_RMSE/source-selected/test
N5_to_N3,O3,LSTM,A,-2.103124754057324,-0.6958026704994777,1.4073220835578462,locked_min_val_RMSE/source-selected/test
