timestamp_utc,node_id,site,subsite,exposure,environment,latitude,longitude,no2_high_met_one_ug_m3,pm2_5_high_met_one_ug_m3
2025-04-16T09:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.0,4.0
2025-04-16T09:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.0,4.0
2025-04-16T09:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.6,4.0
2025-04-16T09:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.3,4.0
2025-04-16T10:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.3,4.0
2025-04-16T10:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.7,4.0
2025-04-16T10:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.6,4.0
2025-04-16T10:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.8,4.0
2025-04-16T11:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,8.8,3.0
2025-04-16T11:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,6.6,3.0
2025-04-16T11:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.1,3.0
2025-04-16T11:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.9,3.0
2025-04-16T12:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.1,2.0
2025-04-16T12:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.7,2.0
2025-04-16T12:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.0,2.0
2025-04-16T12:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.2,2.0
2025-04-16T13:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.8,6.0
2025-04-16T13:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.6,6.0
2025-04-16T13:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.2,6.0
2025-04-16T13:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.8,6.0
2025-04-16T14:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.9,5.0
2025-04-16T14:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.3,5.0
2025-04-16T14:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,6.4,5.0
2025-04-16T14:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.7,5.0
2025-04-16T15:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.2,6.0
2025-04-16T15:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.4,6.0
2025-04-16T15:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.9,6.0
2025-04-16T15:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.5,6.0
2025-04-16T16:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.9,4.0
2025-04-16T16:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.1,4.0
2025-04-16T16:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.6,4.0
2025-04-16T16:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.9,4.0
2025-04-16T17:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.5,3.0
2025-04-16T17:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.5,3.0
2025-04-16T17:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,2.6,3.0
2025-04-16T17:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,1.5,3.0
2025-04-16T18:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.9,4.0
2025-04-16T18:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,3.7,4.0
2025-04-16T18:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,6.2,4.0
2025-04-16T18:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.2,4.0
2025-04-16T19:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,4.5,4.0
2025-04-16T19:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,5.6,4.0
2025-04-16T19:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,6.9,4.0
2025-04-16T19:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,7.7,4.0
2025-04-16T20:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,8.9,5.0
2025-04-16T20:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,11.6,5.0
2025-04-16T20:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,13.1,5.0
2025-04-16T20:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,11.1,5.0
2025-04-16T21:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,15.5,4.0
2025-04-16T21:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,12.8,4.0
2025-04-16T21:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,14.5,4.0
2025-04-16T21:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,11.6,4.0
2025-04-16T22:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,13.5,6.0
2025-04-16T22:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,17.7,6.0
2025-04-16T22:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,17.8,6.0
2025-04-16T22:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,17.0,6.0
2025-04-16T23:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,21.9,5.0
2025-04-16T23:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,17.2,5.0
2025-04-16T23:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,16.3,5.0
2025-04-16T23:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,13.2,5.0
2025-04-17T00:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,13.0,5.0
2025-04-17T00:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,12.6,5.0
2025-04-17T00:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,26.4,5.0
2025-04-17T00:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,19.5,5.0
2025-04-17T01:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,20.2,5.0
2025-04-17T01:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,18.7,5.0
2025-04-17T01:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,20.8,5.0
2025-04-17T01:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,21.8,5.0
2025-04-17T02:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,17.1,3.0
2025-04-17T02:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,16.3,3.0
2025-04-17T02:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,18.0,3.0
2025-04-17T02:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,17.9,3.0
2025-04-17T03:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,20.1,3.0
2025-04-17T03:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,18.9,3.0
2025-04-17T03:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,24.0,3.0
2025-04-17T03:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,23.4,3.0
2025-04-17T04:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,19.5,7.0
