gas,r2,rmse,nrmse_pct,mae,mbe,nivel,n_eval,n_ajuste
CO,0.21076472773999477,70.08313720804504,33.29644450485372,50.67426651779803,-1.96600887449961,Inaceptable,23226,22913
NO2,-0.4228790351372296,14.71292469171551,86.92324142532686,8.281729293766416,2.3726603790447984,Inaceptable,22922,21498
O3,-0.15155173945940748,46.46597670002988,77.65969683965322,29.62263819867612,7.820935299103494,Inaceptable,22479,21185
PM2.5,0.6388379580157468,3.2886262836214772,35.49973942811392,2.3140952002923543,0.05880430618954495,Aceptable,18817,18280
NO2_alpha,0.28491895659758515,10.221822948933784,62.22698280125834,7.708176822528423,-0.020488847547145802,Inaceptable,23357,23344
