gas,r2,rmse,nrmse_pct,mae,mbe,nivel,n_eval,n_ajuste
CO,0.5318019051462605,58.29591907249199,40.222671927359585,42.78299404907766,9.008589341190003e-14,Aceptable,23907,23907
NO2,-0.09198877198289934,10.420188834293258,60.35490636145005,6.452786791272442,1.3342148255531725,Inaceptable,23368,22396
O3,-0.02897071144019625,39.61054023339363,90.53189070908266,25.116780387367253,-6.187880329062027,Inaceptable,23904,21964
PM2.5,0.6963679750800701,3.4687732698102605,44.67453334827039,2.425330146189577,0.06853629981757518,Aceptable,23087,22389
NO2_alpha,0.3281210967551107,8.196451969487041,47.98954602936874,6.343033399535717,-5.1874669514005236e-15,Marginal,22091,22091
