gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,n_scored_train,n_scored_test,search_minutes,status,protocol,original_R2_test,original_best_params
PM2.5,A,LSTM,15114,3701,10,0.7656977676639549,0.4391047060391568,4.280302014603243,3.206504317435158,1.41260161272318,44.46067836945576,0.7081082553952653,Marginal,1.743770351656569,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_a_lstm_v6.pt,11231,1907,11.5,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.5147492499978008,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
PM2.5,B,LSTM,15114,3701,11,0.6692943833854335,0.3833564571856985,4.487976865153687,3.335978797548531,1.7648887139186848,46.61785435943178,0.7143459497088741,Inaceptable,1.7458800310782976,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_b_lstm_v6.pt,11231,1907,11.7,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.4021220479521236,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
PM2.5,C,LSTM,15114,3703,8,0.765686894031052,0.4543415577408785,4.221764025765658,3.146963674545788,1.5578838863107751,43.85262812318269,0.7319164557584207,Marginal,1.68526713215114,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_c_lstm_v6.pt,11231,1907,11.3,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.4449903851517638,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
CO,A,LSTM,13391,7094,12,0.8840757423687917,0.5735263614515911,49.38552983886383,35.05070374221597,-16.055283739663935,26.88131070155841,0.7959991148389898,Marginal,1.541473595269801,"{'lstm_units': 128, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",co_a_lstm_v6.pt,7999,5006,15.9,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.0064623600058731,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
CO,B,LSTM,13391,7094,13,0.6007962479464122,0.2603524835852179,65.03782714519615,44.6643436027224,-36.0416982188636,35.40109915897764,0.7497349056569197,Inaceptable,2.3076263366996503,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.1, 'batch_size': 64}",co_b_lstm_v6.pt,7999,5006,15.4,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,-0.1566675428714172,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
CO,C,LSTM,15390,7836,8,0.4131478702831085,-0.1425145331707393,76.4197966785561,49.47083486835933,-34.25411132806722,42.71514953077498,0.305509758282071,Inaceptable,,"{'lstm_units': 128, 'lr': 0.001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",co_c_lstm_v6.pt,11803,6004,20.2,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,-0.3901968570266407,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2,A,LSTM,13668,7255,12,0.6417728400205909,-0.1409217057707057,15.776925599236186,11.898469003526516,-11.035220921009932,69.18536922052894,0.6565271768700506,Inaceptable,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",no2_a_lstm_v6.pt,9669,6031,11.6,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.2039582100974396,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2,B,LSTM,13577,7255,13,0.5550516813803781,0.5484896739794103,9.924949364545697,7.490311397744774,-0.0157336868510041,43.523136492092696,0.7627808190221621,Marginal,1.0119637756411328,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",no2_b_lstm_v6.pt,9578,6031,12.7,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,-0.1084060763350385,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2,C,LSTM,14951,7971,8,0.5107872600424511,0.4326507333996435,10.900312424993723,7.883901324175492,-4.698842581561194,48.40878964833279,0.7431314741540105,Marginal,1.1805995474197708,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.1, 'batch_size': 64}",no2_c_lstm_v6.pt,11327,7202,11.6,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,0.3361225118419741,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
NO2_alpha,A,LSTM,15528,7829,8,0.798407667500037,-0.2611194609802461,14.730022819985708,10.660704174688789,-8.689358219820909,69.69314220821352,0.4224097420514991,Inaceptable,,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.1, 'batch_size': 64}",no2_alpha_a_lstm_v6.pt,11568,5903,13.8,ok (20/20 finite),v6: masked RMSE scorer + timestamps carried in X,-0.360932710855014,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}"
