gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,align_rows_to,n_iter,R2_test_configA_RF
CO,D,RF,13391,7094,9,0.9624945845094628,0.27811837948646745,62.94528366646417,40.263548995315766,-21.70205252702911,34.43455908863411,0.647250192550179,Inaceptable,3.460737065585755,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",co_d_rf.joblib,A,100,0.576615607843973
CO,D_strict,RF,13391,7094,7,0.4201460459632125,0.060916221609082055,71.79304473382196,49.14926147744537,-13.763427218217396,39.27477480504001,0.30893854567449547,Inaceptable,6.8971127043863225,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5}",co_d_strict_rf.joblib,A,100,0.576615607843973
CO,S,RF,13391,7094,3,0.3096145241054803,-0.48301014198638237,90.21988377921815,78.16460227727892,68.19574931755812,49.35527712333369,0.6323038205550908,Inaceptable,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5}",co_s_rf.joblib,A,100,0.576615607843973
CO,S1,RF,13391,7094,1,0.1429109563875932,-0.12620339452723073,78.62101002182823,66.96136145152168,52.34128144094716,43.01005027716025,0.613400507994195,Inaceptable,,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5}",co_s1_rf.joblib,A,100,0.576615607843973
NO2,D,RF,13668,7255,9,0.8394202494964964,-0.11267807705526733,15.295533240202365,10.924100976454932,-9.526050435745503,69.47979181417067,0.6346534189621195,Inaceptable,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",no2_d_rf.joblib,A,100,0.2812846123236617
NO2,D_strict,RF,13668,7255,7,0.22825477495559432,-0.46580335288993235,17.555682258015725,12.356940596472754,-10.033648627335634,79.74649391344293,0.11701458732728753,Inaceptable,,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5}",no2_d_strict_rf.joblib,A,100,0.2812846123236617
NO2,S,RF,13668,7255,3,0.6228889355416543,0.2988827211169318,12.141579607330707,8.707593932094639,-5.267306675476789,55.15299206406461,0.6698545396978638,Inaceptable,2.0840580319059714,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5}",no2_s_rf.joblib,A,100,0.2812846123236617
NO2,S1,RF,13668,7255,1,0.4423948339556223,0.2693999908878696,12.39423405446127,8.840388429386488,-5.794010884050206,56.3006721162655,0.6590765063762778,Inaceptable,1.6421486596848367,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 5}",no2_s1_rf.joblib,A,100,0.2812846123236617
PM2.5,D,RF,15114,3701,8,0.3147314317993133,-0.1751942833878588,6.455794676512935,4.193092848778002,-1.5002903757754045,69.56326927468008,-0.12110925373071114,Inaceptable,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",pm2.5_d_rf.joblib,A,100,0.5653298266281879
PM2.5,D_strict,RF,15114,3701,7,0.11841297797198946,-0.20630743666755968,6.540694682642925,4.319317583336713,-1.4379745493091443,70.47809421626768,-0.18715243722123656,Inaceptable,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",pm2.5_d_strict_rf.joblib,A,100,0.5653298266281879
PM2.5,S,RF,15114,3701,2,0.6566195656761182,0.4560560555590071,4.392097247086498,3.219291638943104,2.039359868970233,47.326264044799046,0.7862049887156548,Marginal,1.439778197597381,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5}",pm2.5_s_rf.joblib,A,100,0.5653298266281879
PM2.5,S1,RF,15114,3701,1,0.6560400424789095,0.4632659968336069,4.362891664383052,3.186324861676592,1.9764845375137885,47.01156447399096,0.7859143256145742,Marginal,1.4161195662166026,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5}",pm2.5_s1_rf.joblib,A,100,0.5653298266281879
