gas,month,source,model,config,basis,in_sample,R2,RMSE,n_obs
PM2.5,2025-04,OLS,OLS,-,train_only,True,0.7755421092982934,3.8234064259998317,1440
PM2.5,2025-05,OLS,OLS,-,train_only,True,0.6713727487462808,3.8447850752603245,2899
PM2.5,2025-06,OLS,OLS,-,train_only,True,0.3280074403968204,3.4581416162707135,2495
PM2.5,2025-07,OLS,OLS,-,train_only,True,0.43277350911201173,3.190585927080952,2696
PM2.5,2025-08,OLS,OLS,-,train_only,True,0.6618228502206311,2.416560752612493,2954
PM2.5,2025-09,OLS,OLS,-,train_only,True,0.47678667293796195,2.3387464104042897,1650
PM2.5,2025-10,OLS,OLS,-,train_only,True,0.5511000713372203,2.318729967020241,980
PM2.5,2025-11,OLS,OLS,-,train_only,False,0.5637297561551373,3.5918644643557074,1686
PM2.5,2025-12,OLS,OLS,-,train_only,False,0.4272186654907657,4.151265157808958,401
PM2.5,2026-01,OLS,OLS,-,train_only,False,0.8105754344331458,3.6087240837735184,540
PM2.5,2026-02,OLS,OLS,-,train_only,False,0.3079398786836026,4.350755649969935,1076
PM2.5,2025-04,ML,RF,C,validation_selected,True,0.8720134248581137,2.88712266351409,1440
PM2.5,2025-05,ML,RF,C,validation_selected,True,0.7470322042889732,3.373283940335596,2899
PM2.5,2025-06,ML,RF,C,validation_selected,True,0.3753922583694893,3.333989467109444,2495
PM2.5,2025-07,ML,RF,C,validation_selected,True,0.5194422454628735,2.936736543780227,2696
PM2.5,2025-08,ML,RF,C,validation_selected,True,0.7040478369275711,2.2606657120542173,2954
PM2.5,2025-09,ML,RF,C,validation_selected,True,0.5436445663688547,2.184214812809276,1650
PM2.5,2025-10,ML,RF,C,validation_selected,True,0.5667726895542265,2.277892999469727,980
PM2.5,2025-11,ML,RF,C,validation_selected,False,0.5293110778151204,3.7308615496191235,1686
PM2.5,2025-12,ML,RF,C,validation_selected,False,0.5795551769317467,3.556645258327849,401
PM2.5,2026-01,ML,RF,C,validation_selected,False,0.7397330960663806,4.230045131179163,540
PM2.5,2026-02,ML,RF,C,validation_selected,False,0.42400233159585554,3.9692014678216636,1076
CO,2025-04,OLS,OLS,-,train_only,True,0.30868094518564737,56.21454472266234,1412
CO,2025-05,OLS,OLS,-,train_only,True,0.1891959766327438,66.07385215498535,2883
CO,2025-06,OLS,OLS,-,train_only,True,0.10667217866902678,88.0941641768546,2856
CO,2025-07,OLS,OLS,-,train_only,True,0.0186057602473787,67.05674791682453,2840
CO,2025-08,OLS,OLS,-,train_only,True,0.10867670914001193,66.83351263107369,2872
