gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path,source_table,selection,val_RMSE,R2_test_max_over_15,delta_vs_max,rank_of_locked_by_test,R2_test_own
PM2.5,C,RF,15114,3701,8,0.7130442291511816,0.579821674411464,3.860216807561817,2.718693980911923,0.7982032513016409,41.5852723617134,0.7758776867535038,Marginal,1.2298445486630802,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 5}",pm2.5_c_rf.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,2.435444910179476,0.6186022494950483,-0.038818219126083,5,0.5797840303689652
CO,A,RF,13391,7094,12,0.9727623230229556,0.576615607843973,48.20561464895697,34.71570770265769,-4.311196707157159,26.37114314758125,0.7973462328233593,Marginal,1.6870204513891276,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",co_a_rf.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,57.18158829580109,0.576615607843973,0.0,1,0.576615607843973
NO2,B,XGBoost,13577,7255,13,0.8117696068144536,0.3728387707331809,11.48337263421879,8.1718840333004,-5.772759941240412,52.16309411514901,0.7463041340300943,Inaceptable,2.1772671474539056,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",no2_b_xgboost.joblib,tabla_maestra_resultados.csv,locked_min_val_RMSE,7.335333387544422,0.5484896739794103,-0.1756509032462294,5,0.3728387707331809
NO2_alpha,C,LSTM,15528,5903,8,0.7615335676264882,-0.3923815095386898,15.477628899133842,11.538641699495788,-10.00121955547659,73.23034201680832,0.4512069592247885,Inaceptable,,"{'lstm_units': 128, 'lr': 0.001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",no2_alpha_c_lstm_v6.pt,tabla_maestra_lstm_v6.csv,locked_min_val_RMSE,6.377352623120884,-0.0618732703853708,-0.3305082833240944,12,-0.3923815537094652
O3,A,LSTM,13391,5006,12,0.9563173395026608,-2.102967115287841,31.335281968120725,28.47189482768,28.28381611085691,102.4186070387311,0.7535512256960515,Inaceptable,,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",o3_a_lstm_v6.pt,tabla_maestra_lstm_v6.csv,locked_min_val_RMSE,17.295692294396463,-0.5085148781320417,-1.5946098759252822,11,-2.103124754057324
