gas,month,source,model,config,R2,RMSE,n_obs
NO2,2025-04,ML,LightGBM,B,0.7339663369281517,5.966921841899981,1337
NO2,2025-05,ML,LightGBM,B,0.7017002589539652,5.714869783292213,2831
NO2,2025-06,ML,LightGBM,B,0.6286470689755363,5.55268528136554,2535
NO2,2025-07,ML,LightGBM,B,0.5736480321349625,5.478337993139928,2856
NO2,2025-08,ML,LightGBM,B,0.5276780262165478,6.190648341201549,2654
NO2,2025-09,ML,LightGBM,B,0.787174390107525,8.490292898169706,380
NO2,2025-10,ML,LightGBM,B,0.6587516803241482,7.079102818558174,984
NO2,2025-11,ML,LightGBM,B,0.5945303880549005,8.217271725056799,1731
NO2,2025-12,ML,LightGBM,B,0.6139590328801271,7.8517479533768,1499
NO2,2026-01,ML,LightGBM,B,0.371186196180077,12.415330492442086,2943
NO2,2026-02,ML,LightGBM,B,-0.2805583234028264,15.503543520949234,1082
NO2,2025-04,OLS,OLS,-,0.2711228930817054,9.876639608574834,1337
NO2,2025-05,OLS,OLS,-,0.4166933468388415,8.091992305515692,2870
NO2,2025-06,OLS,OLS,-,0.1278469052515137,8.386556808842448,2822
NO2,2025-07,OLS,OLS,-,0.3851939581960282,6.577543327886555,2857
NO2,2025-08,OLS,OLS,-,0.3532845532255009,7.23467861224771,2671
NO2,2025-09,OLS,OLS,-,0.3442126183942308,10.031900311086194,1410
NO2,2025-10,OLS,OLS,-,0.5323815592881369,8.286836572980302,984
NO2,2025-11,OLS,OLS,-,0.2386274576911075,10.905326823279992,2447
NO2,2025-12,OLS,OLS,-,0.2194950684676669,11.164453732046582,1499
NO2,2026-01,OLS,OLS,-,0.3035510632190535,13.06597705740032,2943
NO2,2026-02,OLS,OLS,-,-0.702791508345217,17.877715794508532,1082
CO,2025-04,ML,RF,A,0.9748214701647756,10.688917501186996,1400
CO,2025-05,ML,RF,A,0.9705970558943452,11.971901775307357,2752
CO,2025-06,ML,RF,A,0.9743409900507056,14.849018252284958,2531
CO,2025-07,ML,RF,A,0.955348752712286,14.33708550750166,2820
CO,2025-08,ML,RF,A,0.972806800277312,11.650753347197488,2555
CO,2025-09,ML,RF,A,0.9813937855006164,16.270448998714983,353
CO,2025-10,ML,RF,A,0.9821482949832038,8.412664689179403,980
CO,2025-11,ML,RF,A,0.7869427162444619,31.382781587312014,1681
CO,2025-12,ML,RF,A,0.5775130829282731,50.19182439576022,1499
CO,2026-01,ML,RF,A,0.5167270256931118,54.38499275725089,2887
CO,2026-02,ML,RF,A,0.225078160914119,49.47685535422685,1027
CO,2025-04,OLS,OLS,-,0.3086809451856473,56.21454472266234,1412
CO,2025-05,OLS,OLS,-,0.1891959766327436,66.07385215498535,2883
CO,2025-06,OLS,OLS,-,0.1066721786690267,88.0941641768546,2856
CO,2025-07,OLS,OLS,-,0.0186057602473787,67.05674791682453,2840
CO,2025-08,OLS,OLS,-,0.1086767091400119,66.83351263107369,2872
CO,2025-09,OLS,OLS,-,0.0689952024255389,74.2281553116136,1547
CO,2025-10,OLS,OLS,-,0.2743268126327238,53.63697376210061,980
CO,2025-11,OLS,OLS,-,0.3621445446113419,51.99095379500506,2374
CO,2025-12,OLS,OLS,-,0.075317589606921,74.26523337742486,1503
CO,2026-01,OLS,OLS,-,0.0528234998238957,75.91328643017746,2918
CO,2026-02,OLS,OLS,-,-0.4710722413922141,68.3653981913033,1041
PM2.5,2025-04,ML,RF,B,0.8659588932649482,2.95462269595572,1440
PM2.5,2025-05,ML,RF,B,0.7352215624064913,3.451132138428316,2899
PM2.5,2025-06,ML,RF,B,0.3894947438513292,3.2961369349378127,2495
PM2.5,2025-07,ML,RF,B,0.4960464760980675,3.0073739659435104,2696
PM2.5,2025-08,ML,RF,B,0.7150774498629009,2.2181402342488115,2954
PM2.5,2025-09,ML,RF,B,0.5439235538405028,2.183547063852778,1650
PM2.5,2025-10,ML,RF,B,0.5544987425560004,2.3099356085678258,980
PM2.5,2025-11,ML,RF,B,0.5278091697713603,3.7389749739487455,1684
PM2.5,2025-12,ML,RF,B,0.6154536246992841,3.40142114307389,401
PM2.5,2026-01,ML,RF,B,0.7393538257035353,4.233126096681807,540
PM2.5,2026-02,ML,RF,B,0.4358319530826806,3.9282310411571526,1076
PM2.5,2025-04,OLS,OLS,-,0.7755421092982934,3.823406425999832,1440
PM2.5,2025-05,OLS,OLS,-,0.6713727487462808,3.844785075260325,2899
PM2.5,2025-06,OLS,OLS,-,0.3280074403968204,3.458141616270713,2495
PM2.5,2025-07,OLS,OLS,-,0.4327735091120117,3.190585927080952,2696
PM2.5,2025-08,OLS,OLS,-,0.6618228502206311,2.416560752612493,2954
PM2.5,2025-09,OLS,OLS,-,0.4767866729379619,2.3387464104042897,1650
PM2.5,2025-10,OLS,OLS,-,0.5511000713372203,2.318729967020241,980
PM2.5,2025-11,OLS,OLS,-,0.5637297561551373,3.5918644643557074,1686
PM2.5,2025-12,OLS,OLS,-,0.4272186654907657,4.151265157808958,401
PM2.5,2026-01,OLS,OLS,-,0.8105754344331458,3.6087240837735184,540
PM2.5,2026-02,OLS,OLS,-,0.3079398786836026,4.350755649969935,1076
O3,2025-04,ML,RF,B,0.9478703600272805,9.670375864513337,1400
O3,2025-05,ML,RF,B,0.9157702873532977,10.799606096495735,2752
O3,2025-06,ML,RF,B,0.9631006443920942,10.178935402839269,2531
O3,2025-07,ML,RF,B,0.9573354903945197,10.49982237270804,2820
O3,2025-08,ML,RF,B,0.9309283309210966,10.382858557222683,2555
O3,2025-09,ML,RF,B,0.9048532948197384,10.135495158705302,353
O3,2025-10,ML,RF,B,0.8867706943691497,7.678292408132389,980
O3,2025-11,ML,RF,B,-0.5844316130361709,21.8611679905662,1681
O3,2025-12,ML,RF,B,0.20788565372945578,18.29025166403403,1499
O3,2026-01,ML,RF,B,-1.2233103128957916,24.987957862617694,2887
