gas,month,source,model,config,R2,RMSE,n_obs
O3,2026-02,ML,RF,B,-1.5267092843448355,23.355839019562417,1027
O3,2025-04,OLS,OLS,-,0.19354284979714342,38.05554199275638,1412
O3,2025-05,OLS,OLS,-,0.40131383936084497,30.40781919017082,2882
O3,2025-06,OLS,OLS,-,0.528663570797981,35.79883605895803,2857
O3,2025-07,OLS,OLS,-,0.5641271172550273,33.47813996331351,2839
O3,2025-08,OLS,OLS,-,0.4706775323944298,28.9394933878092,2872
O3,2025-09,OLS,OLS,-,-0.15655592989992284,33.147141472536696,801
O3,2025-10,OLS,OLS,-,-1.205802802371052,33.88976576419602,980
O3,2025-11,OLS,OLS,-,-1.9547132451840667,28.30059176301868,2374
O3,2025-12,OLS,OLS,-,-255.7642550616588,329.72667790990994,1503
O3,2026-01,OLS,OLS,-,-4.946669838944995,40.948701588632495,2918
O3,2026-02,OLS,OLS,-,-5.956409751824398,38.79792070472252,1041
