gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path
CO,A,LightGBM,13391,7094,12,0.7730329967880156,0.5052597530845697,52.10973006870815,38.78035752551863,3.417472925347275,28.506910678991936,0.7587859127940865,Marginal,1.5299714494746752,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",co_a_lightgbm.joblib
CO,A,DNN,13391,7094,12,0.5964163490897902,-1.7408841387746996,122.65225622488089,105.70329868237694,95.28482733026584,67.09758250847513,0.3736680947490856,Inaceptable,,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",co_a_dnn.pt
CO,B,RF,13391,7094,13,0.8608819996102848,0.5164742308781791,51.515748578978034,35.46289247077532,-12.58005089116492,28.18196988098003,0.7807942995617406,Marginal,1.6668440517283838,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",co_b_rf.joblib
CO,B,LightGBM,13391,7094,13,0.833870378541298,0.4292066233763182,55.97185047388166,39.25946310134683,-4.442614617223081,30.619704609734377,0.6910419990492844,Marginal,1.942818058075912,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'num_leaves': 127, 'n_estimators': 100, 'min_child_samples': 5, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",co_b_lightgbm.joblib
CO,B,DNN,13391,7094,13,0.5902516225564116,-1.089801437904979,107.09833387850716,91.36719239926416,81.00797673340153,58.58872486420361,0.4700415305891091,Inaceptable,,"{'lr': 0.005, 'hidden_dim_2': 16, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.3, 'batch_size': 128}",co_b_dnn.pt
CO,C,RF,15390,7836,8,0.4772826170459635,0.0496888712303146,70.4253755785621,45.6628301187888,-21.83132498795253,39.27775042970745,0.3774229142682768,Inaceptable,9.60542280853381,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5}",co_c_rf.joblib
CO,C,LightGBM,15390,7836,8,0.4216318741572874,0.1221039958533903,67.68895358451405,47.8112504050372,-5.089333410850436,37.75158888254349,0.3645499250690281,Inaceptable,3.4530554975738763,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",co_c_lightgbm.joblib
CO,C,DNN,15390,7836,8,0.4182520173609133,0.0721024064174551,69.58991217225126,47.73015603207577,-11.913724054696496,38.81179447424899,0.3162917444362933,Inaceptable,5.800805245518955,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 64, 'epochs': 300, 'dropout': 0.3, 'batch_size': 32}",co_c_dnn.pt
PM2.5,A,RF,15114,3701,10,0.7009705310148278,0.5653298266281879,3.926221477937628,2.762630987713422,0.9381892100524164,42.30630241315737,0.77082129759252,Marginal,1.2399319795236092,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5}",pm2.5_a_rf.joblib
PM2.5,A,LightGBM,15114,3701,10,0.7140927902707587,0.5355917314766417,4.058306522510004,2.943524784947374,1.279147255632658,43.7295613585161,0.766842154806673,Marginal,1.3332782197775614,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",pm2.5_a_lightgbm.joblib
