gas,month,source,model,config,basis,in_sample,R2,RMSE,n_obs
NO2_alpha,2025-04,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.4919134114121635,8.414757337294803,1412
NO2_alpha,2025-05,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.2558048957608169,9.044409437263337,2881
NO2_alpha,2025-06,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.17230068800754417,8.163581818798914,2832
NO2_alpha,2025-07,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.26286890584637856,7.244805286179408,2836
NO2_alpha,2025-08,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.10575924493328881,8.403127233727128,2869
NO2_alpha,2025-09,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.35713618837024363,9.192095955451329,1718
NO2_alpha,2025-10,OLS_alphasense,OLS_Alphasense,-,s6_full_period,True,0.4608361490713928,8.91228588937653,980
NO2_alpha,2025-11,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,0.35893205262471806,9.84806113807229,2369
NO2_alpha,2025-12,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,0.09609125692244724,12.027322986890182,1503
NO2_alpha,2026-01,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,0.16665330028569658,13.893468999896463,2916
NO2_alpha,2026-02,OLS_alphasense,OLS_Alphasense,-,s6_full_period,False,-0.5043516072659282,16.233969228013073,1041
NO2_alpha,2025-04,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.4358193814867156,8.867104199408745,1412
NO2_alpha,2025-05,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.5766700243874043,6.821444043246497,2881
NO2_alpha,2025-06,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.38677052764465114,7.026773622020584,2832
NO2_alpha,2025-07,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.34858448223918215,6.810569075039816,2836
NO2_alpha,2025-08,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.2782487438662786,7.549313906518115,2869
NO2_alpha,2025-09,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.5378219502750246,7.793987727360683,1718
NO2_alpha,2025-10,OLS_alphasense,OLS_Alphasense,-,train_only,True,0.5103776663986284,8.492965029772884,980
NO2_alpha,2025-11,OLS_alphasense,OLS_Alphasense,-,train_only,False,-0.10068743897813914,12.90418883264623,2369
NO2_alpha,2025-12,OLS_alphasense,OLS_Alphasense,-,train_only,False,-0.9549632941110626,17.687888182164393,1503
NO2_alpha,2026-01,OLS_alphasense,OLS_Alphasense,-,train_only,False,-1.0524311637257244,21.803797333491964,2916
NO2_alpha,2026-02,OLS_alphasense,OLS_Alphasense,-,train_only,False,-2.675829392191986,25.376265779915126,1041
NO2,2025-04,OLS,OLS,-,s6_full_period,True,0.35527399702103113,9.289014595808007,1337
NO2,2025-05,OLS,OLS,-,s6_full_period,True,0.1094088178195114,9.998761091534307,2870
NO2,2025-06,OLS,OLS,-,s6_full_period,True,-0.013585003863840983,9.041019757039962,2822
NO2,2025-07,OLS,OLS,-,s6_full_period,True,-0.45538988952828374,10.120088979559295,2857
NO2,2025-08,OLS,OLS,-,s6_full_period,True,0.006057635365161129,8.968983539341504,2671
NO2,2025-09,OLS,OLS,-,s6_full_period,True,-3.3908722133872162,25.958349710651028,1410
NO2,2025-10,OLS,OLS,-,s6_full_period,True,-0.5593206029529301,15.132499490734183,984
NO2,2025-11,OLS,OLS,-,s6_full_period,False,0.4468712055317947,9.295081753359954,2447
NO2,2025-12,OLS,OLS,-,s6_full_period,False,-4.916591363156495,30.738696017891506,1499
NO2,2026-01,OLS,OLS,-,s6_full_period,False,0.00018170952714235966,15.655170076164463,2943
NO2,2026-02,OLS,OLS,-,s6_full_period,False,-0.46133815705784875,16.56176634306641,1082
NO2,2025-04,OLS,OLS,-,train_only,True,0.2711228930817057,9.876639608574832,1337
NO2,2025-05,OLS,OLS,-,train_only,True,0.4166933468388414,8.091992305515694,2870
NO2,2025-06,OLS,OLS,-,train_only,True,0.12784690525151376,8.386556808842448,2822
NO2,2025-07,OLS,OLS,-,train_only,True,0.3851939581960283,6.577543327886554,2857
NO2,2025-08,OLS,OLS,-,train_only,True,0.3532845532255009,7.23467861224771,2671
NO2,2025-09,OLS,OLS,-,train_only,True,0.344212618394231,10.031900311086192,1410
NO2,2025-10,OLS,OLS,-,train_only,True,0.5323815592881369,8.286836572980302,984
NO2,2025-11,OLS,OLS,-,train_only,False,0.23862745769110794,10.905326823279989,2447
NO2,2025-12,OLS,OLS,-,train_only,False,0.2194950684676672,11.16445373204658,1499
NO2,2026-01,OLS,OLS,-,train_only,False,0.3035510632190541,13.065977057400314,2943
NO2,2026-02,OLS,OLS,-,train_only,False,-0.7027915083452159,17.877715794508525,1082
