mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lstm_units,param_lr,param_fc_dim,param_epochs,param_dropout,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8.417407989501953,4.56177233341495,0.007013273239135742,0.001439244052105442,32,0.001,64,100,0.3,32,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-67.33339597190646,-30.877191066036364,-20.580791185264864,-18.259159100991795,-25.64917588352965,-32.53994264154583,17.932060038119708,3
13.703148412704468,6.234878013915826,0.007017660140991211,0.0014076843432623215,32,0.0001,16,100,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-65.05578158543385,-34.46949495263661,-27.41087204309242,-25.020330477761515,-21.740151163196295,-34.73932604442414,15.724528265453952,14
17.535935497283937,5.805147787000911,0.015159320831298829,0.003563834063865296,128,0.0001,16,200,0.3,32,"{'lstm_units': 128, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",-67.13521272891843,-47.693227918893925,-17.921052253588293,-15.917137733998668,-27.176228225978456,-35.168571772275556,19.548428801730356,17
14.471195554733276,8.806378751487157,0.0069962024688720705,0.0014509056092339631,32,0.0001,32,100,0.1,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",-69.42142322528771,-41.48830530490085,-25.433909683311533,-24.439023577117723,-18.201019449485127,-35.79673624802059,18.48788032105208,19
6.726279067993164,2.5391232831657375,0.00705265998840332,0.0014691142127442845,32,0.0001,64,100,0.1,64,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",-67.29652230398037,-35.292790750078865,-19.92029616976215,-21.85733338457275,-27.66717826414574,-34.406824174507975,17.293288984671857,13
14.189399766921998,6.248756231415146,0.007280826568603516,0.001614373357555474,32,0.0001,64,100,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-67.80870327839253,-39.7497367801756,-15.378248394510193,-20.371994124291064,-23.737317549701995,-33.40920002541428,19.037633757578252,6
6.700098085403442,3.4230878739977,0.007544326782226563,0.0013223501917450778,32,0.0005,16,100,0.2,64,"{'lstm_units': 32, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.2, 'batch_size': 64}",-65.88537791729338,-38.14290386655981,-16.90629889910495,-15.95987809241556,-21.150914584671156,-31.60907467200898,18.91030390836539,2
5.211141157150268,1.318365668435809,0.008837080001831055,0.0013409320220229039,64,0.001,16,200,0.1,64,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.1, 'batch_size': 64}",-64.69880304313402,-35.66970317760512,-17.391192799408003,-16.17876162339883,-29.36010524536658,-32.65971317778251,17.61363227951318,4
5.194756746292114,2.8910742131559557,0.015137529373168946,0.0036236124578717583,128,0.0005,64,200,0.2,64,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 64, 'epochs': 200, 'dropout': 0.2, 'batch_size': 64}",-67.78797962967379,-36.6433532799266,-18.093396061341156,-17.610092990731108,-28.62188656736678,-33.75134170580789,18.433008077953556,7
16.184418153762817,7.286444566104166,0.007520818710327148,0.0018720485248992222,32,0.0001,32,200,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",-69.50630985325165,-43.2341149019975,-20.546249577091203,-23.127922182261948,-27.228527119523015,-36.72862472682506,18.186798917935544,20
