mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lstm_units,param_lr,param_fc_dim,param_epochs,param_dropout,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.43518328666687,2.518273009652996,0.007185840606689453,0.001697938660691942,32,0.001,64,100,0.3,32,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.137193440030765,-3.7241272841225057,-2.8220605255636184,-2.243834691265211,-2.9006197139022474,-3.165567130976869,0.6773229276086299,12
14.40253734588623,7.217130619711251,0.007212924957275391,0.0017735975079349472,32,0.0001,16,100,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-4.501652210758222,-4.61098267409366,-2.998068499634539,-2.2142226995309695,-2.935025818759987,-3.4519903805554755,0.9434425640796016,20
9.833667945861816,1.9096998174295665,0.017059183120727538,0.004911792360673997,128,0.0001,16,200,0.3,32,"{'lstm_units': 128, 'lr': 0.0001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",-4.340305466977919,-3.5042988555870997,-2.8462216042826483,-2.166733266469941,-2.8346426575332275,-3.138440370170167,0.7348784518541854,11
12.203321313858032,2.7162365884660216,0.008059167861938476,0.0022457145229135304,32,0.0001,32,100,0.1,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 100, 'dropout': 0.1, 'batch_size': 32}",-3.88000029564,-4.638249163345277,-3.0369956292324507,-2.1969515856379958,-3.0424126218506635,-3.3589218591412773,0.8321286678831242,19
6.8142414569854735,1.5670459987552707,0.007166337966918945,0.0017207143827756548,32,0.0001,64,100,0.1,64,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.1, 'batch_size': 64}",-3.9863023098752857,-4.27299255957779,-2.956478446638916,-2.183775103818776,-3.058554098471809,-3.2916205036765147,0.7536093817865954,16
10.197242212295532,2.749710752446974,0.0071754932403564455,0.0017640178007673284,32,0.0001,64,100,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",-3.7591397226406387,-4.170094684202931,-2.9695926016394885,-2.1618373163892217,-2.8953450755413206,-3.1912018800827204,0.7038491089773656,13
4.543557262420654,1.8896776005677216,0.007164096832275391,0.0017427527383742922,32,0.0005,16,100,0.2,64,"{'lstm_units': 32, 'lr': 0.0005, 'fc_dim': 16, 'epochs': 100, 'dropout': 0.2, 'batch_size': 64}",-4.67901699459615,-3.8032533650303693,-2.952270467304052,-2.1617257561070957,-2.8343762457352706,-3.286128565754587,0.8703308911113923,15
3.856412982940674,1.6735002374034427,0.009118080139160156,0.001897450291627715,64,0.001,16,200,0.1,64,"{'lstm_units': 64, 'lr': 0.001, 'fc_dim': 16, 'epochs': 200, 'dropout': 0.1, 'batch_size': 64}",-4.769995512293267,-2.9109643987806293,-2.7775566985825004,-2.2857229744954637,-2.7293806690565243,-3.0947240506416773,0.8635804232105293,8
4.455601644515991,1.063099885362879,0.01703948974609375,0.004905336507944304,128,0.0005,64,200,0.2,64,"{'lstm_units': 128, 'lr': 0.0005, 'fc_dim': 64, 'epochs': 200, 'dropout': 0.2, 'batch_size': 64}",-3.5139114093519046,-2.5288028681985635,-2.912466439513488,-2.238663470312379,-2.835605082022364,-2.80588985387974,0.42709695720080393,1
11.738215780258178,3.6354378224045183,0.007195806503295899,0.0017173031217535186,32,0.0001,32,200,0.3,32,"{'lstm_units': 32, 'lr': 0.0001, 'fc_dim': 32, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",-3.747620683949787,-4.647087617187045,-2.9900067570654363,-2.210978341968101,-3.0611571058203615,-3.3313701011981456,0.8184373915285368,17
